INFO:root:{'IAQ_Accuracy': 2.0, 'IAQ': 500.0, 'Temperature': 19.6, 'Humidity': 70.3, 'Pressure': 1013.9, 'Gas': 8121.0, 'Status': 0.0}
INFO:root:{'IAQ_Accuracy': 2.0, 'IAQ': 500.0, 'Temperature': 19.6, 'Humidity': 70.3, 'Pressure': 1013.9, 'Gas': 8134.0, 'Status': 0.0}
INFO:root:{'IAQ_Accuracy': 2.0, 'IAQ': 500.0, 'Temperature': 19.6, 'Humidity': 70.3, 'Pressure': 1013.9, 'Gas': 8140.0, 'Status': 0.0}
INFO:root:{'IAQ_Accuracy': 2.0, 'IAQ': 500.0, 'Temperature': 19.6, 'Humidity': 70.4, 'Pressure': 1013.9, 'Gas': 8146.0, 'Status': 0.0}
INFO:root:{'IAQ_Accuracy': 2.0, 'IAQ': 500.0, 'Temperature': 19.6, 'Humidity': 70.4, 'Pressure': 1014.0, 'Gas': 8159.0, 'Status': 0.0}
INFO:root:{'IAQ_Accuracy': 2.0, 'IAQ': 500.0, 'Temperature': 19.9, 'Humidity': 71.0, 'Pressure': 1014.0, 'Gas': 8127.0, 'Status': 0.0}
INFO:root:{'IAQ_Accuracy': 2.0, 'IAQ': 500.0, 'Temperature': 20.1, 'Humidity': 70.8, 'Pressure': 1014.0, 'Gas': 8102.0, 'Status': 0.0}
INFO:root:{'IAQ_Accuracy': 2.0, 'IAQ': 500.0, 'Temperature': 20.1, 'Humidity': 70.4, 'Pressure': 1014.1, 'Gas': 8080.0, 'Status': 0.0}
INFO:root:{'IAQ_Accuracy': 2.0, 'IAQ': 500.0, 'Temperature': 20.1, 'Humidity': 70.3, 'Pressure': 1014.1, 'Gas': 8065.0, 'Status': 0.0}
INFO:root:{'IAQ_Accuracy': 2.0, 'IAQ': 500.0, 'Temperature': 20.1, 'Humidity': 70.4, 'Pressure': 1014.1, 'Gas': 8052.0, 'Status': 0.0}
INFO:root:{'IAQ_Accuracy': 2.0, 'IAQ': 500.0, 'Temperature': 20.1, 'Humidity': 70.6, 'Pressure': 1014.1, 'Gas': 8052.0, 'Status': 0.0}
INFO:root:{'IAQ_Accuracy': 2.0, 'IAQ': 500.0, 'Temperature': 20.2, 'Humidity': 70.2, 'Pressure': 1014.1, 'Gas': 8065.0, 'Status': 0.0}
INFO:root:{'IAQ_Accuracy': 2.0, 'IAQ': 500.0, 'Temperature': 20.3, 'Humidity': 70.4, 'Pressure': 1014.1, 'Gas': 8077.0, 'Status': 0.0}
INFO:root:{'IAQ_Accuracy': 2.0, 'IAQ': 500.0, 'Temperature': 20.3, 'Humidity': 70.4, 'Pressure': 1014.1, 'Gas': 8093.0, 'Status': 0.0}
INFO:root:{'IAQ_Accuracy': 2.0, 'IAQ': 500.0, 'Temperature': 20.3, 'Humidity': 69.6, 'Pressure': 1014.2, 'Gas': 8130.5, 'Status': 0.0}
