INFO:root:{'sample_nr': 22, 'timestamp': 11186258043108, 'iaq': 25.0, 'iaq_accuracy': 0, 'static_iaq': 25.0, 'static_iaq_accuracy': 0, 'co2_equivalent': 500.0, 'co2_accuracy': 0, 'breath_voc_equivalent': 0.4999999403953552, 'breath_voc_accuracy': 0, 'raw_temperature': 24.910593032836914, 'raw_pressure': 101358.2109375, 'raw_humidity': 37.82220458984375, 'raw_gas': 8810.138671875, 'stabilization_status': 0, 'run_in_status': 0, 'temperature': 19.848445892333984, 'humidity': 51.42072296142578, 'comp_gas_value': 4.644723415374756, 'comp_gas_accuracy': 0, 'gas_percentage': 0.0, 'gas_percentage_accuracy': 0}
INFO:root:{'sample_nr': 23, 'timestamp': 11189342296149, 'iaq': 25.0, 'iaq_accuracy': 0, 'static_iaq': 25.0, 'static_iaq_accuracy': 0, 'co2_equivalent': 500.0, 'co2_accuracy': 0, 'breath_voc_equivalent': 0.4999999403953552, 'breath_voc_accuracy': 0, 'raw_temperature': 24.91532325744629, 'raw_pressure': 101356.5859375, 'raw_humidity': 37.822696685791016, 'raw_gas': 8795.3603515625, 'stabilization_status': 0, 'run_in_status': 0, 'temperature': 19.85321807861328, 'humidity': 51.41492462158203, 'comp_gas_value': 4.645217418670654, 'comp_gas_accuracy': 0, 'gas_percentage': 0.0, 'gas_percentage_accuracy': 0}
INFO:root:{'sample_nr': 24, 'timestamp': 11192426351210, 'iaq': 25.0, 'iaq_accuracy': 0, 'static_iaq': 25.0, 'static_iaq_accuracy': 0, 'co2_equivalent': 500.0, 'co2_accuracy': 0, 'breath_voc_equivalent': 0.4999999403953552, 'breath_voc_accuracy': 0, 'raw_temperature': 24.918476104736328, 'raw_pressure': 101356.046875, 'raw_humidity': 37.80590057373047, 'raw_gas': 8832.400390625, 'stabilization_status': 0, 'run_in_status': 0, 'temperature': 19.856365203857422, 'humidity': 51.39100646972656, 'comp_gas_value': 4.646129608154297, 'comp_gas_accuracy': 0, 'gas_percentage': 0.0, 'gas_percentage_accuracy': 0}
INFO:root:{'sample_nr': 25, 'timestamp': 11195510919071, 'iaq': 25.0, 'iaq_accuracy': 0, 'static_iaq': 25.0, 'static_iaq_accuracy': 0, 'co2_equivalent': 500.0, 'co2_accuracy': 0, 'breath_voc_equivalent': 0.4999999403953552, 'breath_voc_accuracy': 0, 'raw_temperature': 24.91910743713379, 'raw_pressure': 101354.6015625, 'raw_humidity': 37.805965423583984, 'raw_gas': 8824.9677734375, 'stabilization_status': 0, 'run_in_status': 0, 'temperature': 19.857011795043945, 'humidity': 51.396484375, 'comp_gas_value': 4.646651268005371, 'comp_gas_accuracy': 0, 'gas_percentage': 0.0, 'gas_percentage_accuracy': 0}
INFO:root:{'sample_nr': 26, 'timestamp': 11198595285548, 'iaq': 25.0, 'iaq_accuracy': 0, 'static_iaq': 25.0, 'static_iaq_accuracy': 0, 'co2_equivalent': 500.0, 'co2_accuracy': 0, 'breath_voc_equivalent': 0.4999999403953552, 'breath_voc_accuracy': 0, 'raw_temperature': 24.915006637573242, 'raw_pressure': 101356.6796875, 'raw_humidity': 37.788429260253906, 'raw_gas': 8854.7734375, 'stabilization_status': 0, 'run_in_status': 0, 'temperature': 19.8529052734375, 'humidity': 51.38888931274414, 'comp_gas_value': 4.647461891174316, 'comp_gas_accuracy': 0, 'gas_percentage': 0.0, 'gas_percentage_accuracy': 0}
INFO:root:{'sample_nr': 27, 'timestamp': 11201679754873, 'iaq': 25.0, 'iaq_accuracy': 0, 'static_iaq': 25.0, 'static_iaq_accuracy': 0, 'co2_equivalent': 500.0, 'co2_accuracy': 0, 'breath_voc_equivalent': 0.4999999403953552, 'breath_voc_accuracy': 0, 'raw_temperature': 24.916269302368164, 'raw_pressure': 101354.8203125, 'raw_humidity': 37.77715301513672, 'raw_gas': 8854.7734375, 'stabilization_status': 0, 'run_in_status': 0, 'temperature': 19.854169845581055, 'humidity': 51.372867584228516, 'comp_gas_value': 4.648020267486572, 'comp_gas_accuracy': 0, 'gas_percentage': 0.0, 'gas_percentage_accuracy': 0}
INFO:root:{'sample_nr': 28, 'timestamp': 11204764362229, 'iaq': 25.0, 'iaq_accuracy': 0, 'static_iaq': 25.0, 'static_iaq_accuracy': 0, 'co2_equivalent': 500.0, 'co2_accuracy': 0, 'breath_voc_equivalent': 0.4999999403953552, 'breath_voc_accuracy': 0, 'raw_temperature': 24.921945571899414, 'raw_pressure': 101358.5390625, 'raw_humidity': 37.783447265625, 'raw_gas': 8854.7734375, 'stabilization_status': 0, 'run_in_status': 0, 'temperature': 19.85984992980957, 'humidity': 51.36967849731445, 'comp_gas_value': 4.648414611816406, 'comp_gas_accuracy': 0, 'gas_percentage': 0.0, 'gas_percentage_accuracy': 0}
INFO:root:{'sample_nr': 29, 'timestamp': 11207848635700, 'iaq': 25.0, 'iaq_accuracy': 0, 'static_iaq': 25.0, 'static_iaq_accuracy': 0, 'co2_equivalent': 500.0, 'co2_accuracy': 0, 'breath_voc_equivalent': 0.4999999403953552, 'breath_voc_accuracy': 0, 'raw_temperature': 24.92478370666504, 'raw_pressure': 101355.734375, 'raw_humidity': 37.789432525634766, 'raw_gas': 8914.994140625, 'stabilization_status': 0, 'run_in_status': 0, 'temperature': 19.86267852783203, 'humidity': 51.3756217956543, 'comp_gas_value': 4.64961051940918, 'comp_gas_accuracy': 0, 'gas_percentage': 0.0, 'gas_percentage_accuracy': 0}
INFO:root:{'sample_nr': 30, 'timestamp': 11210933208767, 'iaq': 25.0, 'iaq_accuracy': 0, 'static_iaq': 25.0, 'static_iaq_accuracy': 0, 'co2_equivalent': 500.0, 'co2_accuracy': 0, 'breath_voc_equivalent': 0.4999999403953552, 'breath_voc_accuracy': 0, 'raw_temperature': 24.930774688720703, 'raw_pressure': 101358.453125, 'raw_humidity': 37.79004669189453, 'raw_gas': 8884.7822265625, 'stabilization_status': 0, 'run_in_status': 0, 'temperature': 19.86867904663086, 'humidity': 51.36665725708008, 'comp_gas_value': 4.649986267089844, 'comp_gas_accuracy': 0, 'gas_percentage': 0.0, 'gas_percentage_accuracy': 0}
INFO:root:{'sample_nr': 31, 'timestamp': 11214017373549, 'iaq': 25.0, 'iaq_accuracy': 0, 'static_iaq': 25.0, 'static_iaq_accuracy': 0, 'co2_equivalent': 500.0, 'co2_accuracy': 0, 'breath_voc_equivalent': 0.4999999403953552, 'breath_voc_accuracy': 0, 'raw_temperature': 24.930143356323242, 'raw_pressure': 101358.3359375, 'raw_humidity': 37.8013916015625, 'raw_gas': 8899.8623046875, 'stabilization_status': 0, 'run_in_status': 0, 'temperature': 19.8680362701416, 'humidity': 51.39099884033203, 'comp_gas_value': 4.650484085083008, 'comp_gas_accuracy': 0, 'gas_percentage': 0.0, 'gas_percentage_accuracy': 0}
